text,size
said,209
trump,159
president,93
new,88
border,83
states,70
would,66
page,60
house,57
white,57
years,53
united,50
think,49
tuesday,49
state,48
year,48
national,47
also,46
administration,46
people,45
york,45
standards,43
last,42
pruitt,41
king,40
please,39
one,38
american,36
like,36
campaign,35
times,35
washington,35
obama,33
mexico,32
trumps,32
could,31
tell,31
time,31
military,31
california,31
home,30
first,30
percent,30
interested,29
must,29
since,29
get,28
many,28
federal,28
law,28
country,27
two,27
rights,27
april,27
see,26
brown,26
monday,26
immigration,26
guard,26
feedback,25
back,25
wine,25
including,24
prison,24
women,24
youre,24
general,24
epa,24
political,23
say,23
former,23
newsletter,23
cars,23
email,23
going,23
officials,23
even,23
still,23
group,22
address,22
view,22
box,22
war,21
central,21
month,21
days,21
week,21
made,21
rules,20
report,20
congress,20
court,20
twitter,20
act,20
newsletters,20
security,20
civil,20
reenter,19
use,19
set,19
secretary,19
clicking,19
democratic,19
subscribe,19
robot,19
verify,19
day,19
wall,19
nations,19
part,19
office,19
staff,19
members,19
invalid,19
select,19
memphis,18
according,18
caravan,18
putin,18
emissions,18
business,18
news,18
less,18
kla,18
chief,17
china,17
pruitts,17
called,17
support,17
told,17
kosovo,17
article,17
inmates,17
census,17
meeting,17
troops,17
leader,17
european,17
chinese,16
republican,16
reporting,16
well,16
migrants,16
presidents,16
live,16
barack,16
kings,16
long,16
edt,16
countries,16
recent,16
leaders,15
laws,15
waiver,15
really,15
order,15
trucks,15
donald,15
asked,15
make,15
whether,15
place,14
nation,14
later,14
todays,14
mississippi,14
might,14
mexican,14
private,14
reporters,14
may,14
inmate,14
amazon,14
number,14
forces,14
economy,14
several,14
want,14
look,14
run,14
hes,14
associated,13
sent,13
way,13
past,13
guards,13
dont,13
top,13
union,13
call,13
market,13
plan,13
agency,13
left,13
company,13
ago,13
much,13
morning,13
black,12
congressional,12
environmental,12
among,12
version,12
march,12
big,12
come,12
fuel,12
today,12
david,12
night,12
obamaera,12
holder,12
official,12
came,12
around,12
world,12
protection,12
issues,12
end,12
began,12
know,12
southern,12
sign,12
east,12
question,12
race,12
light,12
earlier,11
toward,11
major,11
george,11
making,11
policy,11
good,11
case,11
speech,11
government,11
efforts,11
scott,11
thats,11
automakers,11
luther,11
martin,11
attorney,11
job,11
violence,11
strategy,11
whose,11
public,11
syria,11
far,11
fact,11
miles,11
air,11
russia,10
bush,10
californias,10
building,10
wanted,10
russian,10
economic,10
every,10
cases,10
center,10
thought,10
used,10
children,10
climate,10
briefing,10
john,10
online,10
prisons,10
appears,10
message,10
illegal,10
young,10
legal,10
accused,10
life,10
never,10
nearly,10
america,10
old,10
americans,10
work,10
administrations,10
presidential,10
power,10
islamic,10
health,10
head,10
justice,9
enforcement,9
issue,9
vehicle,9
james,9
jeff,9
known,9
three,9
press,9
move,9
davis,9
print,9
evidence,9
keep,9
led,9
prisoners,9
things,9
workers,9
man,9
decision,9
become,9
defense,9
cut,9
department,9
described,9
despite,9
devils,9
crimes,9
take,9
director,9
statement,9
little,9
progress,9
done,9
questions,9
international,9
special,9
men,9
clean,9
room,9
bottles,9
reports,9
calling,9
hong,9
heres,9
person,9
using,9
campaigns,9
nicks,9
buy,9
cant,9
headline,9
papersubscribe,9
foreign,9
hope,9
honduras,9
raised,8
plans,8
across,8
policies,8
conservative,8
edition,8
spent,8
theyre,8
wrote,8
billion,8
lawmakers,8
actor,8
future,8
racial,8
space,8
conversation,8
system,8
harlem,8
management,8
surveillance,8
per,8
customers,8
crowd,8
lot,8
best,8
critical,8
often,8
taking,8
pub,8
something,8
visit,8
put,8
worked,8
singer,8
training,8
additional,8
regulations,8
expensive,8
wants,8
senior,8
isnt,8
money,8
secure,8
announced,8
months,8
another,8
fight,8
trial,8
father,8
closed,8
found,8
follow,8
met,8
ended,8
average,8
kelly,8
though,8
assault,8
